Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Comuzzo;Fiorentina;Difensore;5.88;5.76;6.0;21
Conceicao;Juventus;Centrocampista;6.19;6.62;16.0;16
Cond̬;Venezia;Centrocampista;0.0;0.0;1.0;0
Contini;Napoli;Portiere;0.0;0.0;1.0;0
Coppola D.;Verona;Difensore;5.68;5.68;5.0;19
Corazza;Bologna;Difensore;0.0;0.0;;0
Cornet;Genoa;Centrocampista;5.75;6.25;8.0;2
Correa;Inter;Attaccante;6.75;7.88;5.0;4
Corvi;Parma;Portiere;0.0;0.0;1.0;0
Coulibaly L.;Lecce;Centrocampista;5.89;5.84;7.0;22
Coulibaly W.;Parma;Difensore;5.54;5.36;;14
Cragno;Monza;Portiere;0.0;0.0;;0
Cristante;Roma;Centrocampista;6.0;6.14;9.0;14
Crnigoj;Venezia;Centrocampista;5.9;5.9;2.0;5
Cruz;Verona;Attaccante;0.0;0.0;;0
Cuadrado;Atalanta;Difensore;6.0;6.17;6.0;9
Cuenca H.;Genoa;Centrocampista;0.0;0.0;1.0;0
Cutrone;Como;Attaccante;6.06;6.79;19.0;24
Cyprien;Parma;Centrocampista;5.75;5.75;;2
Da Cunha;Como;Centrocampista;6.02;6.12;10.0;21
Dahl;Roma;Difensore;6.0;6.0;;2
Dallinga;Bologna;Attaccante;6.04;6.46;12.0;13
D'Ambrosio;Monza;Difensore;5.64;5.45;3.0;11
Dani Silva;Verona;Centrocampista;5.33;5.25;;6
Daniliuc;Verona;Difensore;5.46;5.46;3.0;12
Danilo;Juventus;Difensore;5.44;5.44;;8
Darmian;Inter;Difensore;6.15;6.44;13.0;17
Davis K.;Udinese;Attaccante;6.09;6.64;10.0;11
Dawidowicz;Verona;Difensore;5.31;5.04;2.0;13
De Gea;Fiorentina;Portiere;6.48;5.78;19.0;20
De Ketelaere;Atalanta;Attaccante;6.24;7.07;24.0;21
De Roon;Atalanta;Centrocampista;6.05;6.39;14.0;22
De Sciglio;Empoli;Difensore;5.93;6.36;6.0;7
De Silvestri;Bologna;Difensore;6.05;6.3;7.0;10
De Vrij;Inter;Difensore;6.06;6.38;13.0;17
De Winter;Genoa;Difensore;5.71;6.25;7.0;12
Degli Innocenti;Empoli;Centrocampista;0.0;0.0;;0
Deiola;Cagliari;Centrocampista;5.87;5.83;5.0;15
Dele-Bashiru;Lazio;Centrocampista;6.18;6.73;14.0;11
Dellavalle;Torino;Difensore;0.0;0.0;;0
Delprato;Parma;Difensore;6.12;6.5;14.0;20
Dembele' A.;Torino;Difensore;5.5;5.25;1.0;4
Di Chiara;Parma;Difensore;0.0;0.0;;0
Di Gennaro;Inter;Portiere;0.0;0.0;1.0;0
